id,player_id,adp,pos_rank,full_name,position,team,date
cd014c4d-e787-4f56-b0c4-c18b0f98dfd0,66c1ab28-bbf4-4854-80ff-c4caf765fda8,117.5,QB16,Trevor Lawrence,QB,JAX,2024-05-05
83050f3b-3f33-4e5b-ad16-b0a82eefdcbb,660a9e72-4fc7-442d-ba62-257dbab39568,117.9,TE13,T.J. Hockenson,TE,MIN,2024-05-05
bd442576-a4ed-474b-9dbd-941891275718,d69c19b0-4c6f-448a-9690-27f4a4ed54f9,118.9,WR56,Jakobi Meyers,WR,LV,2024-05-05
2642260c-f775-4263-977c-4584914f0418,3745014e-c77f-4330-ae2f-323525f72720,118.9,RB36,Gus Edwards,RB,BAL,2024-05-05
3e8980e6-5db5-4abf-bf09-961510c13cca,e8312b02-cf05-4abd-808d-33a115a6b29c,119.3,RB37,Chase Brown,RB,CIN,2024-05-05
639efdda-8c57-4da3-83d2-30f2471bfc02,d78f8b26-1823-4f49-be34-b9eadd252c3c,122.2,QB17,Justin Herbert,QB,LAC,2024-05-05
155d3ea9-be02-439b-893f-61cfb7e42e14,e5aeabde-d364-4374-a15d-10016ac5740d,124.1,RB38,Tyjae Spears,RB,TEN,2024-05-05
d79e99d3-9a96-438e-a237-b5a1f6309909,e861f743-837a-47dd-a2a9-de23d4e7e363,124.8,TE14,Dalton Schultz,TE,HOU,2024-05-05
e589613d-c3de-4dd1-9cfd-2e28677b4341,46128737-06bc-495b-8126-938ec626bec7,124.9,WR57,Rashid Shaheed,WR,NO,2024-05-05
5b58b8bc-4e70-4c59-9b39-5d06ff9cc138,146258da-2441-4e3b-a1fe-6ef9c566806e,127.0,WR58,Joshua Palmer,WR,LAC,2024-05-05
9d484486-6555-41e2-9e4b-b9b4b4a73852,a5add42f-3abc-4986-83cc-4b021952199c,127.8,WR59,Gabe Davis,WR,BUF,2024-05-05
28d325d3-3f66-4334-8c97-7e886cbb0218,db99b2e0-ad8a-48a4-96cb-a7d5f4f57661,132.3,QB18,Kirk Cousins,QB,MIN,2024-05-05
3a7f32f4-cdb6-4be0-a1b5-6c216802dc4c,b6fc1eff-ec88-4523-9656-d9fd6b53a7ff,132.8,RB40,Ezekiel Elliott,RB,,2024-05-05
eb04ead7-a136-4dfd-9bc0-36062253808f,1edbae01-fd1f-408a-8b46-7365d293ee71,132.9,WR60,Josh Downs,WR,IND,2024-05-05
6cf1940d-9a54-4eb3-ba14-49e9b822d88d,6081005f-45de-474b-87a3-2b74cd21f9b9,133.1,WR61,Jerry Jeudy,WR,DEN,2024-05-05
1a11d2ae-c4b1-400c-bf2e-d4dca13800e6,7202445c-cbea-4c42-a6c0-a5f498e2ff06,133.8,TE15,Cole Kmet,TE,CHI,2024-05-05
317274c8-462d-4f3f-99c0-6fe632f9c100,099bec12-b139-461d-864a-fb167ed7302b,135.3,RB41,Zach Charbonnet,RB,SEA,2024-05-05
63fee59f-b98f-4a3b-b166-6f5dd8382977,5b561cfb-843a-442a-8cb8-1953c3f7aaef,135.8,WR62,Jahan Dotson,WR,WAS,2024-05-05
dd65067d-22f1-4262-9511-1722ec842441,2fd9b7b5-27b3-4f69-8abe-60a8144c6909,136.1,WR63,Brandin Cooks,WR,DAL,2024-05-05
49edc4f4-dc78-467d-8ddb-a5585fcb54e9,f5106453-fc94-4ffb-b843-cb5b15cdb4dd,138.7,RB42,Jerome Ford,RB,CLE,2024-05-05
1f9caa40-8697-45ed-838a-c5016d5d2b50,92f5879c-865a-45f6-80ad-fb96ff005a28,140.5,RB43,Rico Dowdle,RB,DAL,2024-05-05
2c21c617-0373-467a-aa15-1e0e678d9630,36ffcc88-5ca1-4b0e-9f02-028b5ba24be0,142.3,QB19,Matthew Stafford,QB,LAR,2024-05-05
9461990e-fcb5-461a-aef0-cd430b33a1c8,2977afd9-0a50-4190-bcb4-d26f0df7dc55,143.2,TE16,Pat Freiermuth,TE,PIT,2024-05-05
7e343d94-5993-4398-b8e1-d251ce8cddf6,8dd3a635-e761-4407-8f30-6b5f8a0b4867,146.2,QB20,Aaron Rodgers,QB,NYJ,2024-05-05
a7ee8a74-bffd-4cc1-8afe-c348540218cb,7401f3d7-db5f-493d-8bcb-1624b703fa9c,147.3,WR67,Dontayvion Wicks,WR,GB,2024-05-05
d1320ecb-9461-4fba-97c1-d40ae8c36cb5,7131fd51-e10c-4fc8-840c-274f82210d19,148.7,WR68,Quentin Johnston,WR,LAC,2024-05-05
6835cc77-2259-460a-96d2-4593cac34fe4,128e2e2f-63f1-4629-a74c-1379076d1ff0,150.7,TE17,Luke Musgrave,TE,GB,2024-05-05
56346159-6e3e-4ec5-ab5b-4fa6e70a4aa9,0169a966-cf5f-4e6e-8b03-1583650fd6ae,152.9,WR69,Michael Wilson,WR,ARI,2024-05-05
4d0feb32-2c3d-4ba3-97a5-3255e2d8afd2,274d03dc-35b3-4163-b7a7-1088b19b84cf,153.5,WR70,Darnell Mooney,WR,CHI,2024-05-05
05ae34fa-4c89-4171-aec5-3a9cf44970be,71bb8c53-1536-4a76-823a-b397b2b0fd08,154.8,RB46,Ty Chandler,RB,MIN,2024-05-05
3d994e25-98b0-4fe4-8e43-45caa3b05889,4f5a3c90-9e4f-49b7-b126-a99d0eb90286,156.0,QB21,Baker Mayfield,QB,TB,2024-05-05
3818318a-eae9-4e5e-97b7-fc9c17aff78d,a98ff9f4-f919-47e4-9f24-40c36ca9d537,157.4,RB47,Chuba Hubbard,RB,CAR,2024-05-05
ee4764a1-5eaa-450f-bfb6-fda7fd37485f,4df49d8f-f0b9-4b5e-9637-351c25cb296d,157.9,WR72,Roman Wilson,WR,,2024-05-05
5a586c9b-29bb-4966-822f-20cbf961d487,4520ab4c-d93f-4417-a936-b15379db288b,158.5,QB22,Deshaun Watson,QB,CLE,2024-05-05
ff629d5a-a1a0-41aa-be94-384346c39dd0,8af14b29-44c9-4df5-a6b3-2ecfbfbc5fdc,159.2,RB48,Kendre Miller,RB,NO,2024-05-05
a3694f7f-d96e-4a5c-9965-f877c14cf007,5c1011d7-af2e-452b-9a72-693329dbcc24,160.5,RB49,J.K. Dobbins,RB,BAL,2024-05-05
2f43f271-81a2-428d-be67-22331f8cc23e,fd3dce46-3c38-4ad4-bfc1-b72fad7ef755,162.1,TE18,Cade Otton,TE,TB,2024-05-05
7d9fe5a5-046a-497a-9edd-cd0fe22704e7,e016929c-04f5-4b22-955d-71008f06894e,162.2,TE19,Hunter Henry,TE,NE,2024-05-05
fc1ccabb-3073-4b34-a1c4-3310e43d369e,031e196b-ce1a-4890-93ad-2a7cefedfe5d,166.4,WR74,Marvin Mims,WR,DEN,2024-05-05
fd40f098-b8ea-462f-9500-a356b073a8c2,c45eb3b7-6eee-4d80-82d6-4aaec07940fc,166.8,RB51,Tyler Allgeier,RB,ATL,2024-05-05
219e05a7-6e17-4f64-a2ae-2023dd01ecb3,972c1749-c532-4a50-a1de-2c74b3f88286,168.1,WR75,Adam Thielen,WR,CAR,2024-05-05
8455944d-c59f-4f25-a201-2a0785a34543,835c4d4e-8d95-4625-b5d7-1c6e3a6384cd,169.3,RB52,Antonio Gibson,RB,WAS,2024-05-05
96e18685-a5d7-4bce-9803-406cd96537cb,59c11870-cdb6-4c4f-be1b-92d2fcb98c32,174.8,TE21,Isaiah Likely,TE,BAL,2024-05-05
1dab82ca-7aea-4818-b0e0-b56aae0f686f,6d3577ae-3df6-4361-ac5f-8ef3609a2a03,177.3,QB23,Will Levis,QB,TEN,2024-05-05
edb873b8-24e4-46c7-a82e-01efdedd9ff3,0c2fb25a-641d-4a25-ab43-3d440da57be3,178.6,QB25,Geno Smith,QB,SEA,2024-05-05
d22c8282-2db7-48ec-ac2c-825f00eac244,50d708c8-637c-4c2d-9e06-e864a660207c,178.8,TE22,Jonnu Smith,TE,ATL,2024-05-05
8e8ab6f3-17ee-4fd2-b267-49e1d20b6d12,2f7ab04c-3b04-4874-be0e-2a7ea0c59788,179.8,TE23,Juwan Johnson,TE,NO,2024-05-05
ba20ed45-635f-42e7-bd40-6f11de194256,03b5560b-9a42-40c5-99db-d697c5ec7fa9,182.1,WR77,Demario Douglas,WR,NE,2024-05-05
